# THE RENAMED-STRING TABLE -- Fresco.Brix, board wave W-I18N
#
# Every msgid this application asks for that Frescobaldi's catalogs do not
# have, and why. These strings FALL BACK TO ENGLISH by design, in every one of
# the thirteen languages, and they stay that way until somebody translates
# them: nothing here is ever "fixed" back to Frescobaldi's own spelling.
#
# tools/i18nharvest/harvest.py reconciles this file against the code on every
# run -- a row that is no longer in the code, a row that turns out to match
# upstream after all, and a code msgid that is in no row are all reported.
#
# Columns, tab separated:
#   CATEGORY  FR13     no UI element names LilyPond -- the engine is LilyPort
#             FR9      the application is not Frescobaldi -- {appname} goes in
#             RULING   a ruling removed or changed what the sentence described
#             PLATFORM a Qt control this application does not have was replaced
#             NEW      Fresco.Brix-original: there is no upstream msgid at all
#   ORIGIN    the upstream msgid it replaced, or - when there is none
#   CONTEXT   the disambiguating context, or -
#   MSGID     the msgid the code asks for
#
# \n, \t and \\ are escapes. Manual TITLES (decision FD12) are NOT in this
# table: they are data the Documentation Browser reads off the files, never
# msgids, and they say "LilyPond" because that is what the documents are
# called.
FR13	&Contextual LilyPond Help	-	&Contextual LilyPort Help
FR13	&LilyPond Documentation	-	&LilyPort Documentation
FR13	A LilyPond Music Editor	-	A LilyPort Music Editor
FR13	Always install fonts from the music font repository\nto the current LilyPond installation when opening\nthe Document Fonts dialog.	-	Always install fonts from the music font repository\ninto {folder} when opening the Document Fonts dialog.
FR13	Change the LilyPond language used for pitch names in this document or in the selection.	-	Change the LilyPort language used for pitch names in this document or in the selection.
FR13	Create a document that contains the LilyPond version statement	-	Create a document that contains the LilyPort version statement
FR13	Display the skylines that LilyPond uses to detect collisions.	-	Display the skylines that LilyPort uses to detect collisions.
FR13	-	-	Engine: LilyPort {version} (compatible with {compatible}), in this process.
FR13	Generic import for all LilyPond tools.	-	Generic import for all import formats.
FR13	If checked, the LilyPond source files will be embedded in the PDF\nwhen LilyPond is started in publish mode.	-	If checked, the source files are embedded in the exported PDF\nwhen the score is engraved in publish mode.
FR13	Link fonts from a directory to the current LilyPond installation	-	Install fonts from a directory into the folder LilyPort searches
FR13	Link fonts from the global music font repository\nto the current LilyPond installation.	-	Install fonts from the global music font repository\ninto the folder LilyPort searches.
FR13	LilyPond	-	LilyPort
FR13	LilyPond &Log	-	LilyPort &Log
FR13	LilyPond Log	-	LilyPort Log
FR13	LilyPond include path:	-	LilyPort include path:
FR13	LilyPond version:	-	LilyPort version:
FR13	LilyPond {version} [{document}]	-	LilyPort {version} (compatible with {compatible}) [{document}]
FR13	-	-	Music fonts are installed into {folder}, which LilyPort searches before its own built-in fonts. Nothing is installed there until you ask for it in Tools ▸ Document Fonts.
FR13	-	-	No music fonts are installed. {appname} always has emmentaler, which is built into LilyPort; installing a font here adds it to what LilyPort can find.
FR13	Run LilyPond	-	Run LilyPort
FR13	Run LilyPond in preview mode (with Point and Click)	-	Run LilyPort in preview mode (with Point and Click)
FR13	Run LilyPond with verbose output	-	Run LilyPort with verbose output
FR13	Running LilyPond	-	Running LilyPort
FR13	Select alternative stylesheet.\nFonts natively supported by the notation-fonts\npackage provide a default stylesheet to adjust\nLilyPond's visuals (e.g. line thicknesses) to the\ncharacteristic of the music font.\nCheck 'No stylesheet' to avoid a preconfigured\nstylesheet to customize the appearance manually,\nor check 'Custom stylesheet' to load another stylesheet\nin LilyPond's search path.	-	Select alternative stylesheet.\nFonts natively supported by the notation-fonts\npackage provide a default stylesheet to adjust\nthe engraver's visuals (e.g. line thicknesses) to the\ncharacteristic of the music font.\nCheck 'No stylesheet' to avoid a preconfigured\nstylesheet to customize the appearance manually,\nor check 'Custom stylesheet' to load another stylesheet\non the engraver's search path.
FR13	Show and select text and music fonts available in the LilyPond version of the current document	-	Show and select the text and music fonts available to LilyPort
FR13	Suppress the default tagline output by LilyPond.	-	Suppress the default tagline in the engraved output.
FR13	The default folder for your LilyPond documents (optional).	-	The default folder for your LilyPort documents (optional).
FR13	The LilyPond language you want to use for the pitch names.	-	The language you want to use for the pitch names.
FR13	Use LilyPond's "annotate spacing" option to\ndisplay measurement information	-	Use LilyPort's "annotate spacing" option to\ndisplay measurement information
FR13	Fontconfig data:	-	Where LilyPort looks for fonts:
FR13	-	-	loading the LilyPort engine...
FR13	-	-	the LilyPort engine failed to load
FR13	&LilyPond	menu title	&LilyPort
FR9	-	-	A relative folder is looked for under /usr and /usr/local. The dictionaries that came with {appname} are always searched as well.
FR9	If checked, features that are not yet finished are enabled.\nYou need to restart Frescobaldi to see the changes.	-	If checked, features that are not yet finished are enabled.\nYou need to restart {appname} to see the changes.
FR9	If checked, files will be opened in a running Frescobaldi application if available, instead of starting a new instance.	-	If checked, files will be opened in a running {appname} \napplication if available, instead of starting a new instance.
FR9	If checked, Frescobaldi draws a shadow around the pages.	-	If checked, {appname} draws a shadow around the pages.
FR9	If checked, Frescobaldi will not open PDF documents that are not\nup-to-date (i.e. the source file has been modified later).	-	If checked, {appname} will not open PDF documents that are not\nup-to-date (i.e. the source file has been modified later).
FR9	If checked, Frescobaldi will not shorten filenames in the log output.	-	If checked, {appname} will not shorten filenames in the log output.
FR9	If checked, Frescobaldi will not show the log for automatically\nstarted engraving jobs (LilyPond->Auto-engrave).	-	If checked, {appname} will not show the log for automatically\nstarted engraving jobs (LilyPort->Auto-engrave).
FR9	If checked, Frescobaldi will remove unnecessary whitespace at the end of lines (but not inside multi-line strings).	-	If checked, {appname} will remove unnecessary whitespace at the end of lines (but not inside multi-line strings).
FR9	If checked, Frescobaldi will use the template to generate a default file name.\n{title} and {composer} will be replaced by title and composer of that document.	-	If checked, {appname} will use the template to generate a default file name.\n{title} and {composer} will be replaced by title and composer of that document.
FR9	If checked, Frescobaldi will warn you when opened files are modified or deleted by other applications.	-	If checked, {appname} will warn you when opened files are modified or deleted by other applications.
FR9	Session to load if Frescobaldi is started without arguments	-	Session to load if {appname} is started without arguments
FR9	Frescobaldi Manual	-	{appname} User Guide
FR9	Frescobaldi always backups a file before overwriting it with a new version.\nIf checked those backup copies are retained.	-	{appname} always backups a file before overwriting it with a new version.\nIf checked those backup copies are retained.
FR9	Frescobaldi is written and maintained by {author}.	-	{appname} is written and maintained by {author}.
FR9	To avoid persistent damage Frescobaldi only supports removing music fonts that are linked into a LilyPond installation.	-	{appname} only removes music fonts it installed into its own font folder. This family includes files from elsewhere and is left alone.
NEW	-	-	&Change...
NEW	-	-	(no messages)
NEW	-	-	(none)
NEW	-	-	(the document does not declare a version)
NEW	-	-	(the document's version could not be read)
NEW	-	-	(this is the version of the document)
NEW	-	-	A directory where music font previews are cached.\nLeave empty to use the system's temporary directory,\nwhich will be purged upon computer shutdown.
NEW	-	-	A rule stopped early; everything before it has been applied.
NEW	-	-	A snippet may begin with lines like "-*- menu; indent: no;" that declare where it appears and how it behaves.
NEW	-	-	Based on the work of
NEW	-	-	Built with
NEW	-	-	Clear the color.
NEW	-	-	Compatible with:
